,path,invoice,costo_prof,costo_total
0,Invoice (7807).pdf,823365301,508.24,11572.8
1,Invoice (7817).pdf,996258340,2048.96,-1.0
2,Invoice (7819).pdf,Q5085712,1018.6600000000001,13078.02
3,Invoice (7838).pdf,Y50665689,22702.57,36023.75
4,Invoice (7845).pdf,Q79929264,7125.05,32255.83
5,Invoice (7849).pdf,J80946077,4550.75,9290.68
6,Invoice (7850).pdf,79528865,82.86,11859.32
7,Invoice (7852).pdf,657982836,5195.620000000001,78833.64
8,Invoice (787).pdf,Invoice (787),5461.77,18.06
9,Invoice (7878).pdf,I50083966,19494.6,29487.56
10,Invoice (7881).pdf,121430458,5822.439999999999,21178.45
11,Invoice (7887).pdf,721064728,3334.85,6947.68
12,Invoice (7888).pdf,V35523050,6255.2,14505.84
13,Invoice (7889).pdf,412605672,377.53,47148.1
14,Invoice (7900).pdf,344464350,1641.7700000000002,22447.8
15,Invoice (7903).pdf,383591109,9741.689999999999,17462.4
16,Invoice (7930).pdf,A00066322,4644.91,-1.0
17,Invoice (7933).pdf,192301857,17433.69,25520.36
18,Invoice (7935).pdf,951035909,8438.46,55771.08
19,Invoice (7938).pdf,683604475,3786.59,27564.35
20,Invoice (7939).pdf,847162250,2.0,17217.61
21,Invoice (7945).pdf,139218007,7158.870000000001,27471.43
22,Invoice (7947).pdf,P36214558,13896.74,38199.54
23,Invoice (797).pdf,C54351527,3574.25,68556.12
24,Invoice (7971).pdf,912753563,8168.63,10018.34
25,Invoice (7974).pdf,840194253,16739.419999999995,35638.56
26,Invoice (7976).pdf,T22709912,40128.5,55913.19
27,Invoice (7978).pdf,757022859,6356.459999999999,-1.0
28,Invoice (7990).pdf,C36373371,23942.1,33579.45
29,Invoice (7992).pdf,491710046,8745.220000000001,34809.19
30,Invoice (7996).pdf,251040643,1375.4900000000002,15398.1
31,Invoice (8000).pdf,O16527068,3913.2699999999995,12966.88
32,Invoice (801).pdf,J33869062,4023.38,2832.51
33,Invoice (8014).pdf,730398280,20863.249999999996,49825.55
34,Invoice (8022).pdf,159804635,5919.25,5129.97
35,Invoice (803).pdf,G34509205,138755.97999999998,155902.14
36,Invoice (8033).pdf,R22449162,10018.08,16643.39
37,Invoice (8038).pdf,69706138,6936.36,10559.08
38,Invoice (8051).pdf,K93397833,6905.43,13774.12
39,Invoice (8053).pdf,C58181484,9029.29,18860.8
40,Invoice (8062).pdf,370763638,14404.92,25119.95
41,Invoice (8064).pdf,H65737283,13070.400000000001,13860.01
42,Invoice (8075).pdf,30748334,1814.1099999999997,10830.21
43,Invoice (8076).pdf,16911713,2403.88,24748.78
44,Invoice (809).pdf,S06435726,2596.04,25003.13
45,Invoice (8091).pdf,668924333,4114.46,12206.95
46,Invoice (8100).pdf,564826580,28143.17,48457.0
47,Invoice (8128).pdf,L31347178,9727.61,24124.08
48,Invoice (8130).pdf,D38145877,15858.56,27174.03
49,Invoice (8140).pdf,675715547,8365.75,18700.33
50,Invoice (8143).pdf,120715985,4434.06,18690.07
51,Invoice (8151).pdf,W97406401,708.34,27694.83
52,Invoice (8152).pdf,Q69216395,3576.04,30502.76
53,Invoice (8168).pdf,883717188,5717.629999999999,11787.14
54,Invoice (8171).pdf,618474335,2492.84,17433.78
55,Invoice (8176).pdf,099929814,7339.639999999999,23215.47
56,Invoice (8194).pdf,917959072,4734.249999999999,18323.91
57,Invoice (8198).pdf,R96084107,8778.49,43644.97
58,Invoice (8199).pdf,9902325,17919.39,29827.33
59,Invoice (82).pdf,798373233,3276.2999999999997,28814.77
60,Invoice (8203).pdf,G73373140,4380.6900000000005,25965.75
61,Invoice (8204).pdf,O21135658,25415.170000000002,39614.83
62,Invoice (8207).pdf,S31246435,3653.2199999999993,41172.05
63,Invoice (821).pdf,U78251903,15835.019999999999,27.09
64,Invoice (8215).pdf,150134530,17072.21,45502.49
65,Invoice (8241).pdf,471422922,9403.35,14885.5
66,Invoice (8247).pdf,834380908,1074.4499999999998,21490.7
67,Invoice (8252).pdf,L06428419,38274.0,87279.23
68,Invoice (8259).pdf,M85652006,5420.58,-1.0
69,Invoice (8262).pdf,218087999,35310.020000000004,45551.38
70,Invoice (8266).pdf,680173937,31146.77,41190.02
71,Invoice (8270).pdf,462073590,4982.16,29771.55
72,Invoice (8272).pdf,K36588823,3830.85,25712.08
73,Invoice (8282).pdf,85061507,11576.560000000001,23374.9
74,Invoice (829).pdf,857400377,6194.0599999999995,29737.59
75,Invoice (8292).pdf,M66309779,14366.13,16138.31
