,path,invoice,costo_prof,costo_total
0,Invoice (3516).pdf,H65515921,2369.11,25337.02
1,Invoice (3518).pdf,Z66987,3028.39,19781.67
2,Invoice (3535).pdf,892424266,9470.9,-1.0
3,Invoice (3537).pdf,868297959,11499.23,-1.0
4,Invoice (3540).pdf,400718582,6768.160000000001,31083.16
5,Invoice (3547).pdf,E47502306,7250.200000000001,1.24
6,Invoice (3549).pdf,494311,10953.280000000002,35483.8
7,Invoice (3551).pdf,L10391573,12530.5,21758.32
8,Invoice (3554).pdf,S41456941,12100.6,20933.67
9,Invoice (3558).pdf,853782104,6335.17,8542.38
10,Invoice (3563).pdf,v537845415,9160.67,20723.52
11,Invoice (3567).pdf,906530733,4095.15,60707.05
12,Invoice (359).pdf,925892156,29652.339999999997,31537.56
13,Invoice (3592).pdf,Invoice (3592),6046.39,45673.28
14,Invoice (3599).pdf,X65229657,7782.490000000001,13146.51
15,Invoice (3604).pdf,P34223490,5253.29,32342.69
16,Invoice (3615).pdf,G38754813,7203.9800000000005,8064.0
17,Invoice (3631).pdf,L13922798,472.66999999999996,10325.71
18,Invoice (3634).pdf,808841701,17925.37,34476.71
19,Invoice (3641).pdf,607142533,4139.9800000000005,-1.0
20,Invoice (3643).pdf,R59073648,14025.83,13058.13
21,Invoice (3649).pdf,L76577197,1302.99,4862.97
22,Invoice (3663).pdf,969708155,5093.35,21018.19
23,Invoice (3669).pdf,I78753282,1599.8,18424.7
24,Invoice (3672).pdf,S52116716,22947.620000000003,33784.69
25,Invoice (3673).pdf,Invoice (3673),10199.52,3.0
26,Invoice (368).pdf,680893196,2729.48,6719.69
27,Invoice (3686).pdf,Y08439674,10737.7,22586.74
28,Invoice (3687).pdf,B81050023,17975.84,29679.08
29,Invoice (369).pdf,985182047,25034.27,46246.52
30,Invoice (3691).pdf,300367195,14384.199999999999,16744.13
31,Invoice (3693).pdf,148970366,17553.91,38740.83
32,Invoice (37).pdf,544235753,13693.339999999998,-1.0
33,Invoice (3708).pdf,O29716775,2896.76,4032.02
34,Invoice (3723).pdf,C98530837,5067.900000000001,19816.96
35,Invoice (3729).pdf,41198352,2120.04,27136.91
36,Invoice (3732).pdf,J93963320,176.34,42279.26
37,Invoice (3740).pdf,Y83691502,9804.27,30557.63
38,Invoice (3748).pdf,593844967,21785.45,58433.64
39,Invoice (3752).pdf,Y96550413,14044.18,32713.83
40,Invoice (3756).pdf,G56060074,9646.230000000001,29438.85
41,Invoice (3767).pdf,759476948,5911.18,19541.6
42,Invoice (3778).pdf,B26480707,1825.9700000000003,11557.24
43,Invoice (3780).pdf,998625882,10087.85,12875.71
44,Invoice (3790).pdf,D22045822,6149.34,11779.15
45,Invoice (380).pdf,w39290560,20952.86,-1.0
46,Invoice (3801).pdf,22562321,14828.46,36959.13
47,Invoice (3803).pdf,16,18738.480000000003,31401.31
48,Invoice (3858).pdf,B665,72464.41,58657.52
49,Invoice (3859).pdf,S27650390,7368.6900000000005,-1.0
50,Invoice (3860).pdf,X02803816,13283.33,20378.76
51,Invoice (3862).pdf,211545401,7498.29,7022.47
52,Invoice (3866).pdf,868992194,16132.800000000001,33966.16
53,Invoice (3869).pdf,S67688029,6903.26,10816.36
54,Invoice (3884).pdf,73732431,5141.6900000000005,35296.02
55,Invoice (3888).pdf,275122888,2487.3399999999997,6938.53
56,Invoice (3894).pdf,P87699953,12728.32,19699.35
57,Invoice (3898).pdf,E4386,34942.799999999996,55739.19
58,Invoice (3899).pdf,E67851751,53421.80999999999,59639.99
59,Invoice (3906).pdf,Y52699776,7238.030000000001,21566.57
60,Invoice (3919).pdf,C87276550,14258.76,30753.15
61,Invoice (392).pdf,170766270,9547.65,13594.31
62,Invoice (3921).pdf,584386543,10603.560000000001,34811.35
63,Invoice (3928).pdf,C69693909,12587.720000000001,31169.89
64,Invoice (3931).pdf,J43108715,2174.79,4730.74
65,Invoice (3938).pdf,110875652,2449.9300000000003,27597.37
66,Invoice (3945).pdf,667582999,15562.14,39788.18
67,Invoice (395).pdf,J76272810,17868.8,25958.12
68,Invoice (3959).pdf,L18653473,6504.879999999999,18390.46
69,Invoice (3961).pdf,L25185246,8465.1,31821.87
70,Invoice (3968).pdf,G08799201,9561.53,30520.99
71,Invoice (3976).pdf,Z81269612,7429.81,11932.69
72,Invoice (3984).pdf,L77582949,9965.36,18002.05
73,Invoice (3987).pdf,153447443,4979.870000000001,15864.07
74,Invoice (3989).pdf,B67496400,22270.48,35418.39
75,Invoice (3997).pdf,835,1390.28,12539.73
76,Invoice (3998).pdf,250129404,8783.31,21889.98
77,Invoice (4003).pdf,886226666,1592.1100000000001,22842.05
78,Invoice (4029).pdf,I70360972,0.0,15379.83
79,Invoice (4039).pdf,B11790036,6941.33,22.0
80,Invoice (4054).pdf,751903318,9576.769999999999,38614.66
81,Invoice (4067).pdf,F44219757,9721.25,-1.0
82,Invoice (4070).pdf,B44156294,2032.92,25772.13
83,Invoice (4076).pdf,457402204,5235.4400000000005,16550.09
84,Invoice (4080).pdf,65327988,7215.93,17987.0
85,Invoice (4087).pdf,U29298694,5570.71,10991.97
86,Invoice (4093).pdf,Q36338375,13902.65,18441.02
87,Invoice (4095).pdf,W37812542,11314.74,-1.0
88,Invoice (410).pdf,165983071,2067.9700000000003,32644.59
89,Invoice (4105).pdf,N99080008,5725.400000000001,12969.84
90,Invoice (4112).pdf,346454220,49.0,44898.27
91,Invoice (4121).pdf,W61188544,19188.95,60085.05
92,Invoice (4124).pdf,374334788,17959.01,65467.31
93,Invoice (413).pdf,871403053,2199.16,18626.45
94,Invoice (4134).pdf,W29841930,8614.37,-1.0
95,Invoice (4143).pdf,888345330,8298.29,33093.71
96,Invoice (4155).pdf,K91,12836.29,60972.12
97,Invoice (416).pdf,E23717166,7548.0199999999995,37179.09
98,Invoice (4166).pdf,640783385,5014.6900000000005,-1.0
99,Invoice (4168).pdf,89595926,8497.86,29836.17
